f,f2,sample_ID,file_name,bird_ID,id
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 138_G200532 2021-09-27 Snap-1813_inv.jpg,Ruff 138_G200532 2021-09-27 Snap-1813_inv.jpg,138,Ruff 138_G200532 2021-09-27 Snap-1813_inv.jpg,G200532,054
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 146_G200064 2021-10-04 Snap-2003_inv.jpg,Ruff 146_G200064 2021-10-04 Snap-2003_inv.jpg,146,Ruff 146_G200064 2021-10-04 Snap-2003_inv.jpg,G200064,055
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 077_1687 2021-06-04 Snap-1091_inv.jpg,Ruff 077_1687 2021-06-04 Snap-1091_inv.jpg,077,Ruff 077_1687 2021-06-04 Snap-1091_inv.jpg,1687,056
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 195_1383 2021-10-20 Snap-2679_inv.jpg,Ruff 195_1383 2021-10-20 Snap-2679_inv.jpg,195,Ruff 195_1383 2021-10-20 Snap-2679_inv.jpg,1383,057
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 187_G200067 2021-18-2021 Snap-2470_inv.jpg,Ruff 187_G200067 2021-18-2021 Snap-2470_inv.jpg,187,Ruff 187_G200067 2021-18-2021 Snap-2470_inv.jpg,G200067,058
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 135_G200062 2021-07-14 Snap-1586_inv.jpg,Ruff 135_G200062 2021-07-14 Snap-1586_inv.jpg,135,Ruff 135_G200062 2021-07-14 Snap-1586_inv.jpg,G200062,059
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/6/Ruff 088_1316 2021-11-10 Snap-3308.jpg,Ruff 088_1316 2021-11-10 Snap-3308.jpg,088,Ruff 088_1316 2021-11-10 Snap-3308.jpg,1316,060
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 129_G200070 2021-06-18 Snap-1495_inv.jpg,Ruff 129_G200070 2021-06-18 Snap-1495_inv.jpg,129,Ruff 129_G200070 2021-06-18 Snap-1495_inv.jpg,G200070,061
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 127_AIFA-016507 2021-06-18 Snap-1402_inv.jpg,Ruff 127_AIFA-016507 2021-06-18 Snap-1402_inv.jpg,127,Ruff 127_AIFA-016507 2021-06-18 Snap-1402_inv.jpg,AIFA-016507,062
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 149_1681 2021-10-06 Snap-2086_inv.jpg,Ruff 149_1681 2021-10-06 Snap-2086_inv.jpg,149,Ruff 149_1681 2021-10-06 Snap-2086_inv.jpg,1681,063
